Station_Name,Latitude,Longitude,State,Town,Power_kW
Electric Vehicle Charging Station,20.2027864,82.936256,Odisha,,0.0
BPCL Charging Station,20.3013862,82.7516433,Odisha,,30.0
"MIRZA RIYAZ HOUSE , CONNON XEROX SERVICE CENTRE,",20.0299963,86.13191499999999,Odisha,,0.0
Jio-bp pulse Charging Station,20.036226000000003,85.825447,Odisha,,7.4
Jio-bp pulse Charging Station,19.981225700000003,85.8251193,Odisha,,7.4
Ather Charging Station,20.001994,85.8205414,Odisha,,1.100000023841858
Ather Grid Charging Station,19.913864,85.98975,Odisha,,1.100000023841858
Electric Vehicle Charging Station,20.0089777,85.8138496,Odisha,,0.0
BPCL Charging Station,20.0090935,85.81383199999999,Odisha,,30.0
Tata Power Charging Station,19.8373153,85.8366266,Odisha,,3.299999952316284
Hindustan Petroleum Corporation Limited,19.887408999999998,85.803106,Odisha,,0.0
Ather Grid Charging Station,19.864923,85.66566999999999,Odisha,,1.100000023841858
Tata Power Charging Station,19.9604389,85.4336031,Odisha,,25.0
BPCL Charging Station,19.995597,85.479968,Odisha,,30.0
Hindustan Petroleum Corporation Limited,19.9901672,85.4736527,Odisha,,0.0
Ather Grid Charging Station,19.924364,84.57135,Odisha,,1.100000023841858
Jio-bp,20.038907,84.63856899999999,Odisha,,7.4
Tata Power Charging Station,19.924915,83.174075,Odisha,,25.0
Electric Vehicle Charging Station,20.0887924,82.36210489999999,Odisha,,100.0
G.K Rickshaw,19.8134808,85.8362997,Odisha,,0.0
Ather Grid Charging Station,19.7952607,85.8132809,Odisha,,1.100000023841858
KACHERI SECTION TPCODL,19.802419699999998,85.8239399,Odisha,,0.0
Relux Charging Station,19.790746199999997,85.8030868,Odisha,,30.0
Electric Vehicle Charging Station,19.718937999999998,85.5235713,Odisha,,0.0
Ather Grid Charging Station,19.799158,85.664566,Odisha,,1.100000023841858
Ather Grid Charging Station,19.71935,85.52448679999999,Odisha,,1.100000023841858
Jio-bp pulse Charging Station,19.678549999999998,85.171409,Odisha,,7.4
Tata Power Charging Station,19.6782474,85.1714786,Odisha,,30.0
Adani Charging Station,19.6331555,85.1353263,Odisha,,7.4
BPCL Charging Station,19.749316,85.20759799999999,Odisha,,60.0
Jio-bp,19.731375,83.479141,Odisha,,7.4
Tata Power Charging Station,19.652452999999998,82.225619,Odisha,,30.0
Ather Grid Charging Station,19.31151,84.83354,Odisha,,1.100000023841858
Ather Grid Charging Station,19.34123,84.76845,Odisha,,1.100000023841858
Ather Grid Charging Station,19.324255,84.87503,Odisha,,1.100000023841858
Electric Vehicle Charging Station,19.3171717,84.7772474,Odisha,,0.0
Electric Vehicle Charging Station,19.3071386,84.8292277,Odisha,,0.0
Electric Vehicle Charging Station,19.3194175,84.7844863,Odisha,,0.0
Ather Grid Charging Station,19.308462,84.77319,Odisha,,1.1
Ather Grid Charging Station,19.301503999999998,84.83013,Odisha,,1.1
Ather Grid Charging Station,19.306037999999997,84.78173,Odisha,,1.100000023841858
Tata Power Charging Station,19.315210999999998,84.85814400000001,Odisha,,25.0
Ather Grid Charging Station,19.31608,84.85278,Odisha,,1.100000023841858
Ather Grid Charging Station,19.30744,84.81665,Odisha,,1.1
Electric Vehicle Charging Station,19.3176997,84.79058359999999,Odisha,,0.0
Ather Grid Charging Station,19.32163,84.86715,Odisha,,1.100000023841858
Ather Grid Charging Station,19.319885,84.78112999999999,Odisha,,1.100000023841858
Ather Grid Charging Station,19.2956471,84.81956579999999,Odisha,,1.1
